ID,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
134,143,3.74,3.65,3.83,0.32,0.63,0.21,0.33,0.13,0.24,1.87
135,139,3.86,3.78,3.93,0.13,0.61,0.26,0.38,0.17,0.21,2.09
136,129,4.16,4.04,4.27,0.09,0.15,0.29,0.41,0.08,0.31,2.83
137,141,3.76,3.67,3.85,0.42,0.63,0.04,0.13,0.05,0.19,2.31
138,128,4.19,4.1,4.29,0.35,0.71,0.16,0.25,0.09,0.19,2.44
139,136,3.81,4.04,3.57,0.52,1.19,0,0.39,0.16,0.12,1.43
140,138,3.87,3.75,3.98,0.85,0.66,0.05,0.01,0.08,0.12,2.09
141,152,3.36,3.29,3.43,0.38,0.11,0.17,0.16,0.07,0.31,2.15
142,134,3.97,3.88,4.07,1.09,0.89,0.35,0.44,0.11,0.12,0.97
143,151,3.48,3.4,3.56,0.39,0.1,0.21,0.4,0.07,0.2,2.11
144,145,3.7,3.62,3.77,0.28,0.46,0.37,0.14,0.08,0.22,2.15
145,133,4.03,3.89,4.16,0.34,0.3,0.27,0.12,0.14,0.48,2.37
146,144,3.72,3.62,3.83,0.58,0.47,0.31,0.23,0.06,0.1,1.97
147,140,3.83,3.6,4.07,0.39,0.19,0.16,0.2,0.13,0.26,2.51
148,147,3.62,3.46,3.78,0.11,0.5,0.23,0.26,0.05,0.24,2.23
149,148,3.61,3.53,3.68,0.22,0.31,0.19,0.31,0.12,0.3,2.16
150,154,3.3,3.19,3.41,0.28,0,0.25,0.35,0.12,0.18,2.14
151,149,3.52,3.44,3.59,0.33,0.62,0.32,0.54,0.51,0.24,0.97
152,153,3.07,2.94,3.2,0.75,0.15,0.63,0.07,0.17,0.48,0.82
153,146,3.67,3.56,3.77,0.47,0.78,0.36,0.32,0.05,0.31,1.38
154,150,2.91,2.73,3.08,0.07,0.23,0.16,0.04,0.09,0.2,2.1
155,155,2.69,2.86,2.52,0,0,0.02,0.27,0.28,0.06,2.07
